% f evaluations | g evaluations | best noise-free fitness - Fopt (6.870000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.700119263e+01 +2.387119263e+01 +2.387119263e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +5.235330293e+00 +1.210533029e+01 +1.210533029e+01 +4.0276e-01 +1.2869e-01 +2.6749e+00 -9.6098e-01 +1.2655e+00 -2.8235e+00 -1.4311e-01 -4.3226e+00 -1.6260e+00 +3.4305e-01
7 0 +2.663501545e+00 +9.533501545e+00 +9.533501545e+00 -3.6403e+00 +4.8141e+00 -4.3835e+00 +3.4024e+00 -9.5771e-01 -4.2889e-01 +3.7458e+00 +3.9827e+00 +1.1616e+00 -4.9929e+00
300 0 +2.499601482e+00 +9.369601482e+00 +9.369601482e+00 +5.8952e-01 +2.2768e+00 +2.2250e+00 +9.7683e-01 +1.1095e-01 +1.5538e+00 +1.3450e+00 +3.6830e+00 +3.1286e+00 +1.7177e-01
3930 0 +1.564684003e+00 +8.434684003e+00 +8.434684003e+00 -3.3479e+00 -4.8343e+00 -8.4720e-01 -1.1020e+00 -1.2998e-01 +3.3268e+00 -2.7509e+00 -9.1223e-02 -2.2585e+00 -9.9014e-01
15506 0 +1.228306384e+00 +8.098306384e+00 +8.098306384e+00 -7.5218e-01 +1.6421e+00 +2.8903e+00 +4.6131e+00 +2.7337e+00 -3.4582e-01 -9.2563e-01 -5.1610e+00 +1.0169e+00 +4.3917e+00
100001 0 +1.228306384e+00 +8.098306384e+00 +8.098306384e+00 -7.5218e-01 +1.6421e+00 +2.8903e+00 +4.6131e+00 +2.7337e+00 -3.4582e-01 -9.2563e-01 -5.1610e+00 +1.0169e+00 +4.3917e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e-02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.237923688e+00 +9.247923688e+00 +9.247923688e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
14 0 +9.069653760e+00 +9.079653760e+00 +9.079653760e+00 +2.4268e-01 +4.2785e+00 -8.1019e-01 +1.5856e+00 -2.9603e+00 -3.8401e+00 +3.6155e+00 -2.9450e+00 -1.8641e+00 -5.1287e+00
32 0 +5.508655892e+00 +5.518655892e+00 +5.518655892e+00 +1.9069e+00 -5.8090e-01 -1.7032e+00 +7.3974e-01 -3.4317e+00 +1.0055e+00 +2.3492e+00 -7.7120e-01 +6.4663e-01 -2.0369e+00
130 0 +4.820783422e+00 +4.830783422e+00 +4.830783422e+00 +1.5902e+00 -1.1993e+00 -3.3169e+00 -2.1801e+00 -1.0915e+00 +1.9708e-01 -4.4117e-01 -5.3735e+00 +3.2080e+00 -2.0469e+00
156 0 +4.505532698e+00 +4.515532698e+00 +4.515532698e+00 +1.1635e+00 +5.3799e-01 -3.9177e+00 -1.4289e+00 -2.1781e+00 +1.7016e+00 +1.5413e+00 +2.1099e+00 +5.1809e+00 -9.5744e-01
203 0 +3.424617734e+00 +3.434617734e+00 +3.434617734e+00 -2.5123e+00 +4.9973e-02 -1.6713e+00 -1.4979e-01 -2.0223e+00 -2.3682e+00 -3.9001e-01 +1.0485e+00 +2.6782e+00 +2.4795e+00
415 0 +2.731501081e+00 +2.741501081e+00 +2.741501081e+00 +2.0878e+00 -2.0238e+00 -1.7208e+00 -4.5080e-01 -1.0354e+00 -5.2802e+00 -1.2700e+00 +2.8712e+00 -6.1317e-01 +3.5510e-01
930 0 +2.585278479e+00 +2.595278479e+00 +2.595278479e+00 +4.0469e+00 -1.0127e+00 -1.2260e+00 -3.0666e+00 +1.8715e+00 +6.9507e-01 -1.3875e+00 -5.2521e-01 +2.7341e+00 -2.5552e-01
1146 0 +2.325747611e+00 +2.335747611e+00 +2.335747611e+00 +1.6101e+00 -5.0166e-01 -3.5525e+00 -9.5099e-01 +3.9192e+00 -7.8095e-01 +1.0546e+00 +9.5947e-01 +1.9435e+00 +8.0586e-01
1328 0 +1.891202740e+00 +1.901202740e+00 +1.901202740e+00 +1.9489e+00 +1.7794e+00 -3.7547e+00 +9.4744e-01 -1.1873e+00 +4.8425e-01 -1.9221e+00 +3.0350e+00 -4.0364e+00 +1.2571e+00
4694 0 +1.758806629e+00 +1.768806629e+00 +1.768806629e+00 -3.5404e+00 -2.3765e-01 +2.7136e-01 -1.7439e+00 -4.3894e+00 -6.5494e-01 +2.4833e+00 +3.8648e+00 -1.5231e+00 -3.2863e+00
12932 0 +1.503088579e+00 +1.513088579e+00 +1.513088579e+00 -4.2650e-01 +1.2796e-02 +3.7555e+00 -4.8019e+00 -3.5956e-01 +5.7330e-02 -2.6854e+00 -8.4610e-01 +2.0713e+00 +2.4707e+00
96087 0 +1.463522155e+00 +1.473522155e+00 +1.473522155e+00 +2.2653e+00 -1.7819e+00 -2.8910e+00 +3.9107e+00 -2.7109e-01 -1.9154e+00 -2.9934e+00 +2.6838e+00 -4.0729e+00 +5.3842e-01
100001 0 +1.463522155e+00 +1.473522155e+00 +1.473522155e+00 +2.2653e+00 -1.7819e+00 -2.8910e+00 +3.9107e+00 -2.7109e-01 -1.9154e+00 -2.9934e+00 +2.6838e+00 -4.0729e+00 +5.3842e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.306100000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
